,precision,recall,f1-score,support,accuracy
0,0.9151162790697674,0.9752168525402726,0.9442111577684463,807.0,0.8972375690607735
1,0.5555555555555556,0.25510204081632654,0.34965034965034963,98.0,0.8972375690607735
accuracy,0.8972375690607735,0.8972375690607735,0.8972375690607735,0.8972375690607735,0.8972375690607735
macro avg,0.7353359173126615,0.6151594466782996,0.646930753709398,905.0,0.8972375690607735
weighted avg,0.8761804217168473,0.8972375690607735,0.8798277774418458,905.0,0.8972375690607735
